Source,Station,Latitude,Longitude
20mm,20mm 411,38.05022222222222,-122.07652777777776
20mm,20mm 418,38.0675,-122.09555555555556
20mm,20mm 501,38.07333333333334,-122.02633333333333
20mm,20mm 504,38.051944444444445,-121.98608333333334
20mm,20mm 508,38.04716666666666,-121.91722222222222
20mm,20mm 513,38.058861111111106,-121.86775
20mm,20mm 519,38.07475,-121.95808333333332
20mm,20mm 520,38.03216666666667,-121.86311111111112
20mm,20mm 602,38.11555555555556,-122.04239166666666
20mm,20mm 606,38.17058333333333,-122.02791666666668
20mm,20mm 609,38.16708333333333,-121.93783333333332
20mm,20mm 610,38.122194444444446,-121.88911111111112
20mm,20mm 703,38.04861111111111,-121.79738888888888
20mm,20mm 704,38.066583333333334,-121.79031111111112
20mm,20mm 705,38.097611111111114,-121.70875
20mm,20mm 706,38.086083333333335,-121.75044444444444
20mm,20mm 707,38.114694444444446,-121.70786111111111
20mm,20mm 711,38.177416666666666,-121.66225
20mm,20mm 801,38.04369444444444,-121.844
20mm,20mm 802,38.020833333333336,-121.7303888888889
20mm,20mm 804,38.016444444444446,-121.79130555555555
20mm,20mm 809,38.053777777777775,-121.6930277777778
20mm,20mm 812,38.08991666666667,-121.63991666666668
20mm,20mm 815,38.087138888888894,-121.57113888888888
20mm,20mm 901,38.04625,-121.6185
20mm,20mm 906,38.05002777777778,-121.50647222222224
20mm,20mm 910,38.005,-121.45302777777778
20mm,20mm 912,37.96641666666667,-121.36855555555556
20mm,20mm 915,37.94427777777778,-121.56788888888887
20mm,20mm 918,37.859,-121.56713888888888
20mm,20mm 919,38.10519444444444,-121.49458333333334
Baystudy,Baystudy 428,38.062,-122.1053
Baystudy,Baystudy 429,38.08583333333333,-122.07683333333334
Baystudy,Baystudy 430,38.1082,-122.055
Baystudy,Baystudy 431,38.1052,-122.028
Baystudy,Baystudy 432,38.0425,-122.108
Baystudy,Baystudy 433,38.060116666666666,-121.98281666666666
Baystudy,Baystudy 534,38.07145,-121.9562
Baystudy,Baystudy 535,38.04731666666667,-121.91766666666666
Baystudy,Baystudy 736,38.06033333333333,-121.80433333333332
Baystudy,Baystudy 750,38.084666666666664,-121.75
Baystudy,Baystudy 751,38.1055,-121.717
