Source,Station,Latitude,Longitude,Region,SubRegion,YearAdj,Season,Month,Date,Datetime,DissAmmonia_Sign,DissAmmonia,DissNitrateNitrite_Sign,DissNitrateNitrite,DissOrthophos_Sign,DissOrthophos
EMP,D11,38.04229,-121.7995,Confluence,Lower Sacramento River,1975,Winter,1,1975-01-07,1975-01-07 13:00:00,=,NA,=,NA,=,0.07
EMP,D19,38.04376,-121.6148,SouthCentral,Franks Tract,1975,Winter,1,1975-01-07,1975-01-07 15:00:00,=,NA,=,NA,=,0.06
EMP,D22,38.08453,-121.7391,Confluence,Sacramento River near Rio Vista,1975,Winter,1,1975-01-07,1975-01-07 13:00:00,=,NA,=,NA,=,0.06
EMP,D24,38.15778,-121.6847,Confluence,Sacramento River near Rio Vista,1975,Winter,1,1975-01-07,1975-01-07 14:00:00,=,NA,=,NA,=,0.07
EMP,D26,38.07664,-121.5669,Confluence,San Joaquin River at Prisoners Pt,1975,Winter,1,1975-01-07,1975-01-07 15:00:00,=,NA,=,NA,=,0.06
EMP,D4,38.06248,-121.8205,Confluence,Lower Sacramento River,1975,Winter,1,1975-01-07,1975-01-07 12:00:00,=,NA,=,NA,=,0.07
EMP,D10,38.04631,-121.9183,Confluence,Confluence,1975,Winter,1,1975-01-08,1975-01-08 13:00:00,=,NA,=,NA,=,0.07
EMP,D2,38.06544,-122.0545,Suisun Bay,Mid Suisun Bay,1975,Winter,1,1975-01-08,1975-01-08 12:00:00,=,NA,=,NA,=,0.08
EMP,D6,38.04436,-122.1177,Suisun Bay,West Suisun Bay,1975,Winter,1,1975-01-08,1975-01-08 12:00:00,=,NA,=,NA,=,0.09
EMP,D7,38.11714,-122.0397,Suisun Bay,Grizzly Bay,1975,Winter,1,1975-01-08,1975-01-08 11:00:00,=,NA,=,NA,=,0.08
EMP,D8,38.05992,-121.99,Suisun Bay,Mid Suisun Bay,1975,Winter,1,1975-01-08,1975-01-08 13:00:00,=,NA,=,NA,=,0.08
USGS_SFBS,1,38.04,-121.84,Confluence,Confluence,1975,Winter,1,1975-01-15,1975-01-15 16:44:00,=,0.0770385,=,0.35857920000000004,=,0.05699216000000001
USGS_SFBS,2,38.063333,-121.851667,Confluence,Confluence,1975,Winter,1,1975-01-15,1975-01-15 16:35:00,=,0.0784392,=,0.34597289999999997,=,0.044292820000000004
USGS_SFBS,3,38.051667,-121.88,Confluence,Confluence,1975,Winter,1,1975-01-15,1975-01-15 16:12:00,=,0.07745871,=,0.3543771,=,0.14743624
USGS_SFBS,6,38.065,-122.035,Suisun Bay,Mid Suisun Bay,1975,Winter,1,1975-01-15,1975-01-15 15:07:30,=,0.12816405,=,0.3431715,=,0.1471265
USGS_SFBS,7,38.048333,-122.096667,Suisun Bay,West Suisun Bay,1975,Winter,1,1975-01-15,1975-01-15 14:23:00,=,0.11513754000000001,=,0.3487743,=,0.07805448000000001
USGS_SFBS,1,38.04,-121.84,Confluence,Confluence,1975,Winter,1,1975-01-16,1975-01-16 08:37:00,=,0.05938968000000001,=,0.3949974,=,0.06256748000000001
USGS_SFBS,2,38.063333,-121.851667,Confluence,Confluence,1975,Winter,1,1975-01-16,1975-01-16 08:48:00,=,0.060370169999999994,=,0.37258620000000003,=,0.059779820000000004
USGS_SFBS,3,38.051667,-121.88,Confluence,Confluence,1975,Winter,1,1975-01-16,1975-01-16 08:53:00,=,0.05938968000000001,=,0.3417708,=,0.052036320000000004
USGS_SFBS,5,38.06,-121.98,Suisun Bay,Mid Suisun Bay,1975,Winter,1,1975-01-16,1975-01-16 09:27:00,=,0.07899948,=,0.3669834,=,0.061948
USGS_SFBS,6,38.065,-122.035,Suisun Bay,Mid Suisun Bay,1975,Winter,1,1975-01-16,1975-01-16 09:42:00,=,0.08054025000000001,=,0.3683841,=,0.0634967
USGS_SFBS,7,38.048333,-122.096667,Suisun Bay,West Suisun Bay,1975,Winter,1,1975-01-16,1975-01-16 10:01:00,=,0.12116055,=,0.36558270000000004,=,0.0727889
EMP,MD10,38.04381,-121.4188,SouthCentral,Disappointment Slough,1975,Winter,1,1975-01-21,1975-01-21 14:00:00,=,NA,=,NA,=,0.17
EMP,C3,38.34575,-121.5461,North,Middle Sacramento River,1975,Winter,1,1975-01-22,1975-01-22 12:00:00,=,NA,=,NA,=,0.08
EMP,D28A,37.97048,-121.573,SouthCentral,Old River,1975,Winter,2,1975-02-03,1975-02-03 14:00:00,=,NA,=,NA,=,0.06
EMP,MD10,38.04381,-121.4188,SouthCentral,Disappointment Slough,1975,Winter,2,1975-02-03,1975-02-03 13:00:00,=,NA,=,NA,=,0.15
EMP,P8,37.97817,-121.3823,SouthCentral,San Joaquin River near Stockton,1975,Winter,2,1975-02-03,1975-02-03 12:00:00,=,NA,=,NA,=,0.13
EMP,C3,38.34575,-121.5461,North,Middle Sacramento River,1975,Winter,2,1975-02-04,1975-02-04 12:00:00,=,NA,=,NA,=,0.07
EMP,D11,38.04229,-121.7995,Confluence,Lower Sacramento River,1975,Winter,2,1975-02-05,1975-02-05 12:00:00,=,NA,=,NA,=,0.06
