Model,Parameter,Sum Sq,Df,F value,Pr(>F)
Temperature,(Intercept),3034.ZZZ,1,4799.ZZZ,< 0.001ZZZ
Temperature,Drought,10.61ZZZ,2,8.389ZZZ,< 0.001ZZZ
Temperature,Season,2583.ZZZ,3,1362.ZZZ,< 0.001ZZZ
Temperature,Region,5.432ZZZ,4,2.148ZZZ,0.07305ZZZ
Temperature,Drought:Season,60.77ZZZ,6,16.02ZZZ,< 0.001ZZZ
Temperature,Drought:Region,31.80ZZZ,8,6.288ZZZ,< 0.001ZZZ
Temperature,Season:Region,178.0ZZZ,12,23.47ZZZ,< 0.001ZZZ
Temperature,Residuals,569.0ZZZ,900,ZZZ,ZZZ
Salinity,(Intercept),61.12ZZZ,1,238.5ZZZ,< 0.001ZZZ
Salinity,Drought,30.41ZZZ,2,59.34ZZZ,< 0.001ZZZ
Salinity,Season,24.91ZZZ,3,32.40ZZZ,< 0.001ZZZ
Salinity,Region,536.1ZZZ,4,523.0ZZZ,< 0.001ZZZ
Salinity,Drought:Season,8.414ZZZ,6,5.473ZZZ,< 0.001ZZZ
Salinity,Drought:Region,46.45ZZZ,8,22.66ZZZ,< 0.001ZZZ
Salinity,Season:Region,45.49ZZZ,12,14.79ZZZ,< 0.001ZZZ
Salinity,Residuals,230.6ZZZ,900,ZZZ,ZZZ
Secchi depth,(Intercept),0.001320ZZZ,1,0.02856ZZZ,0.8658ZZZ
Secchi depth,Drought,3.551ZZZ,2,38.42ZZZ,< 0.001ZZZ
Secchi depth,Season,0.1706ZZZ,3,1.231ZZZ,0.2973ZZZ
Secchi depth,Region,0.8432ZZZ,4,4.561ZZZ,0.001192ZZZ
Secchi depth,YearAdj,0.01543ZZZ,1,0.3338ZZZ,0.5636ZZZ
Secchi depth,Drought:Season,1.001ZZZ,6,3.611ZZZ,0.001523ZZZ
Secchi depth,Drought:Region,1.272ZZZ,8,3.440ZZZ,< 0.001ZZZ
Secchi depth,Season:Region,1.207ZZZ,12,2.176ZZZ,0.01119ZZZ
Secchi depth,Season:YearAdj,0.1628ZZZ,3,1.174ZZZ,0.3185ZZZ
Secchi depth,Region:YearAdj,0.8953ZZZ,4,4.844ZZZ,< 0.001ZZZ
Secchi depth,Season:Region:YearAdj,1.213ZZZ,12,2.187ZZZ,0.01072ZZZ
Secchi depth,Residuals,40.20ZZZ,870,ZZZ,ZZZ
